StateFIPS,PUMA,GEOID10,NAME,Subregion,Subregion2,Region,County,CountyFIPS
9,100,900100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA",CT,CT,Region,Fairfield,9001
9,101,900101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA",CT,CT,Region,Fairfield,9001
9,102,900102,Stamford & Greenwich Towns PUMA,CT,CT,Region,Fairfield,9001
9,103,900103,"Norwalk, Westport & Darien Towns PUMA",CT,CT,Region,Fairfield,9001
9,104,900104,Bridgeport Town PUMA,CT,CT,Region,Fairfield,9001
9,105,900105,"Stratford, Shelton, Trumbull, Newtown & Monroe Towns PUMA",CT,CT,Region,Fairfield,9001
9,500,900500,Litchfield County PUMA,CT,CT,Region,Litchfield,9005
9,900,900900,New Haven County (Northwest) PUMA,CT,CT,Region,New Haven,9009
9,901,900901,Waterbury Town PUMA,CT,CT,Region,New Haven,9009
9,902,900902,"Meriden, Wallingford & North Haven Towns PUMA",CT,CT,Region,New Haven,9009
9,903,900903,"Hamden, Ansonia, Seymour, Derby, Woodbridge & Bethany Towns PUMA",CT,CT,Region,New Haven,9009
9,904,900904,"West Haven, Milford & Orange Towns PUMA",CT,CT,Region,New Haven,9009
9,905,900905,New Haven Town PUMA,CT,CT,Region,New Haven,9009
9,906,900906,"East Haven, Branford, Guilford, Madison & North Branford Towns PUMA",CT,CT,Region,New Haven,9009
34,301,3400301,Bergen County (South Central)--Hackensack & Englewood (West) Cities PUMA,NJ In,NJ,Region,Bergen,34003
34,302,3400302,"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA",NJ In,NJ,Region,Bergen,34003
34,303,3400303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA",NJ In,NJ,Region,Bergen,34003
34,304,3400304,"Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough PUMA",NJ In,NJ,Region,Bergen,34003
34,305,3400305,"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA",NJ In,NJ,Region,Bergen,34003
34,306,3400306,"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes Boroughs PUMA",NJ In,NJ,Region,Bergen,34003
34,307,3400307,"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA",NJ In,NJ,Region,Bergen,34003
